epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.266,1.14803,1.21809,1.16103,0.36261,0.38249,0.27246,0.16325,1.43316,2.95279,1.49734,0.000865714,0.000865714,0.000865714
2,1074.58,1.17737,1.26793,1.1795,0.54376,0.32328,0.26471,0.16671,1.38417,2.79314,1.45954,0.000459045,0.000459045,0.000459045
