epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.864,0.98549,1.03743,1.10024,0.39155,0.53094,0.41621,0.28824,1.28316,2.74491,1.37125,0.000297684,0.000297684,0.000297684
2,564.656,1.04195,1.11608,1.15262,0.39653,0.53124,0.41064,0.26991,1.42682,2.70986,1.47312,0.000541216,0.000541216,0.000541216
3,845.388,1.08965,1.17291,1.18798,0.3154,0.51155,0.33294,0.2097,1.42131,3.68732,1.45936,0.000724755,0.000724755,0.000724755
4,1116.6,1.08628,1.16662,1.15962,0.4091,0.46897,0.38865,0.24569,1.41402,3.12542,1.47247,0.000639027,0.000639027,0.000639027
5,1390.91,1.05984,1.14218,1.16103,0.30687,0.52028,0.36376,0.23519,1.40941,3.71696,1.45444,0.000549036,0.000549036,0.000549036
6,1879,1.04499,1.1005,1.13343,0.32815,0.51487,0.35543,0.22428,1.44606,3.20425,1.53954,0.000459045,0.000459045,0.000459045
7,2090.57,1.03801,1.05081,1.14085,0.44529,0.46574,0.42958,0.27379,1.41598,2.80583,1.50519,0.000369054,0.000369054,0.000369054
8,2718.97,0.98384,0.98978,1.10068,0.46793,0.4851,0.45051,0.28526,1.37392,3.55812,1.45492,0.000279063,0.000279063,0.000279063
9,3222.89,0.96634,0.93188,1.0862,0.39705,0.47141,0.42461,0.28084,1.34688,3.03417,1.43578,0.000189072,0.000189072,0.000189072
10,3670.8,0.94541,0.917,1.0785,0.40812,0.53632,0.4324,0.28331,1.35095,2.81384,1.43278,9.9081e-05,9.9081e-05,9.9081e-05
